Document,Final.7.types,ids,Title,,,,,,,,
143,Care transition,11-25-2019,What's the alternative to putting someone in a care home?,,,,,,,,
144,Psychosocial,11-25-2019,I just spent the night in the hospital because my Great-Aunt took a large dump.,,,,,,,,
145,Resource,11-25-2019,"When your life feels like one big dementia ""Have to...""",,,,,,,,
146,Psychosocial,11-25-2019,I’m so mad about this whole situation.,,,,,,,,
147,Psychosocial,11-25-2019,I haven't visited,,,,,,,,
148,Resource,11-24-2019,My Ugliest Truth,,,,,,,,
149,Resource,11-24-2019,"Long-term lithium reduces cognitive and functional decline in amnestic Mild Cognitive Impairment, and modifies Alzheimer's disease-related CSF biomarkers. The present data reinforces the disease-modifying properties of lithium in the MCI-Alzheimer's disease continuum",,,,,,,,
150,Treatment,11-24-2019,Effective ways of slowing progress,,,,,,,,
151,Psychosocial,11-24-2019,How do I console my mother who's taking care of my dad with early-onset alzheimers?,,,,,,,,
152,Daily care,11-24-2019,Mother's recent diagnosis,,,,,,,,
153,Psychosocial,11-21-2019,Anyone ever accidentally go to the r/AlzheimersGroup instead of this one?,,,,,,,,
154,Resource,11-21-2019,"Podcast Notes (Full Summary) | Richard Isaacson, MD: Help! I’m at Risk for Alzheimer’s Disease – The Genius Life with Max Lugavere",,,,,,,,
155,Legal,11-20-2019,Respite care? adult day care? Insurance?,,,,Multiple coding?,,,,
156,Resource,11-20-2019,Photobiomodulation &amp; Ketogenic Diet for Treatment of Mid-periphery Retinal Disorders for Alzheimer's Disease Prevention,,,,,,,,
157,Treatment,11-19-2019,Early age anti-Alzheimer's prevention: is preventative treatment available?,,,,,,,,
158,Daily care,11-18-2019,Bath?,,,,,,,,
159,Psychosocial,11-18-2019,I think I'm going to need to elope!,,,,,,,,
160,Characteristics,11-18-2019,Father starting to exhibit signs of dementia/alzheimers post-chemotherapy treatment...,,,,,,,,
161,Resource,11-17-2019,"In addition to helping blood pressure and cardiovascular health, deep sleep may play a role in preventing Alzheimer’s disease",,,,,,,,
162,Psychosocial,11-17-2019,Anyone just want to help out again?,,,,"The body of the post is not seeking info, however the title is a question seeking help.",,,,
163,Psychosocial,11-17-2019,"One trait many Alzheimer's patients share is collecting objects and stashing them in random places. My brother decided to fill his garden trellis with dog toys and random objects. He thinks it's beautiful, and so do I.",,,,,,,,
164,Characteristics,11-17-2019,Progression of Alzheimer’s- Your Experience,,,,,,,,
165,Treatment,11-16-2019,My grandfather wants to remember kissing his late wife.,,,,,,,,
166,Psychosocial,11-16-2019,"Handling a big move -- venting, worrying",,,,,"""So I had to vent.""",,,
167,Resource,11-15-2019,Finding a doctor for my Grandma,,,,,,,,
168,Resource,11-14-2019,"November is #NationalFamilyCaregiversMonth. Caregivers are superheroes, but even superheroes can’t do it alone. To find more ways you can help call our free 24/7 Helpline at 800.272.3900, and find your local chapter &amp; online caregiving resources at alz.org/care. #ENDALZ",,,,,,,,
169,Legal,11-14-2019,Taking Over For Grandma,,,,,,,,
170,Legal,11-14-2019,"Father becoming more aggressive, nursing homes don't want him.",,,,,,,,
171,Resource,11-14-2019,The Monster - Easymess (Nov 2019),,,,,,,,
172,Legal,11-13-2019,Palliative care,,,,,,,,
173,Psychosocial,11-13-2019,"I take my pip out every day for a coffee and some Johnny Cash, never underestimate the power of music, and touch therapy ❤",,,,,,,,
174,Treatment,11-12-2019,Opinions on Namenda (Memantine),,,,,,,,
175,Psychosocial,11-11-2019,This is adorable! I wish I could get my Great-Aunt a cat!,,,,,,,,
176,Resource,11-11-2019,Update to MIL hair care,,,,,,,,
177,Resource,11-10-2019,Colombian woman’s genes offer new clues to staving off Alzheimer’s,,,,,,,,
178,Psychosocial,11-10-2019,I flunked the Alzheimer's test,,,,,,,,
179,Treatment,11-10-2019,Does New Chinese Alzheimer's Drug Made from Seaweed Work?,,,,,,,,
180,Psychosocial,11-9-2019,Lonely,,"""I guess I just need some confirmation that I’m not a terrible daughter for leaving today.""",,,,,,
181,Resource,11-8-2019,Thank you and congratulations to Jaiden Kaplan for your tremendous fundraising accomplishment! #ThePowerofOne #ENDALZ💜 #Walk2EndAlz #LAWalk2EndAlz #LosAngelesWalk,,,,,,,,
182,Psychosocial,11-8-2019,Terrified of getting dementia,,,,,,,,
183,Resource,11-8-2019,"Medium-chain triglycerides improved cognition and lipid metabolomics in mild to moderate Alzheimer's disease patients with APOE4-/-: A double-blind, randomized, placebo-controlled crossover trial. - October 2019",,,,,,,,
184,Psychosocial,11-7-2019,Facing the possibility of my dad having Alzheimer’s,,,,,,,,
185,Daily care,11-7-2019,Activities for someone with early Alzheimer's,,,,,,,,
186,Daily care,11-7-2019,Driving Liability and DMV drivers test,,,,,,,,
187,Daily care,11-7-2019,Tips for taking care of matted hair? I'm at my wits end!,,,,,,,,
188,Resource,11-6-2019,"If mods will allow it, here is a powerful song for those with family members struggling with this disease",,,,,,,,
189,Psychosocial,11-6-2019,My grandpa tried to strangle my brother... how’s your day going?,,,,,,,,
190,Daily care,11-6-2019,ANy good leg workouts for late stage alz,,,,,,,,
191,Resource,11-6-2019,Bill Gates: Here’s a way you can help fight Alzheimer’s. Get involved in a study to understand the disease.,,,,,,,,
192,Resource,11-6-2019,Sibling relationships and a parent's cognitive decline.,,,,,,,,
193,Resource,11-6-2019,"How do you interact with an Alzheimer's patient? If you're caring for someone with Alzheimer's, learn more about behaviors to expect and ways to interact with them. Teepa Snow is an expert in caregiving and there are many videos showing her seminars and working with patients.",,,,,,,,
194,Resource,11-6-2019,Genetic mutation protects woman from developing dementia,,,,,,,,
195,Psychosocial,11-6-2019,My Dad now,,,,,,,,
196,Psychosocial,11-5-2019,A bit of a rant,,,,,,,,
197,Daily care,11-5-2019,Grandma and the rise of technology.,,,,,,,,
198,Resource,11-5-2019,Pump the brakes on the Chinese Alzheimer's Drug Approval Hype,,,,,,,,
199,Resource,11-4-2019,China approves seaweed-based Alzheimer's drug. It's the first new one in 17 years,,,,,,,,
