title_id	sentence	label
23	He currently wears a fitbit daily and charges it nightly.	1
23	I am looking at an apple watch with a data plan, but didnt know if there were better options.	1
23	He does not ever carry his phone with him so we need something outside of just phone tracking	1
28	She then proceeded to eat my personal groceries as well, so well over $100 in less than half a week.	1
28	I'm not making enough money for all of this, and the next few weeks are now probably going to be rice & beans to stretch it out.	1
28	My partner is trying, but it's been like feeding a black hole, she sneaks down in the middle of the night and cleans the place out.	1
28	She then proceeded to eat my personal groceries as well, so well over $100 in less than half a week.	1
28	Either way, are there any locks that you'd recommend?	1
32	My mom has early stage Alzheimer’s and has already been the victim of one scammer.	1
34	I ask how she knows and she just says that she knows he is with her.	0
36	"Hi,
 My grandfather has Alzheimers, and lately, he's been overfeeding his dog to an alarming degree."	1
36	The dog, Princess, is quite old and already very overweight.	1
36	My grandmother has tried telling him that he can't do that, but he's just not understanding (which, of course, is not his fault).	1
36	Hiding the treat bags won't do any good, as he'll just drive to the store and buy more on his own.	1
38	Does anyone have suggestions for a simple toy or activity my family could give him for the holidays?	1
38	He’s still very aware of/embarrassed by his forgetfulness and challenges so I want to find something that isn’t too obviously designed for children, like some of the Alz “toys” I’ve seen.	1
39	I feel like it is but I'm not sure.	0
42	My mother has been diagnosed with early onset Alzheimer's, and I know a lot about the disease, but nothing about how she is able to support herself while living with it in her later stages.	1
42	How would she be able to support herself when she is no longer able to work?	1
42	How could I help her from suffering through that scare again?	1
42	What could I do to help her?	1
42	The internet hasn't given me many options, if there are any.	1
45	She needs one in the worse way.	0
45	She’s getting smelly but either can’t smell anything or doesn’t care or doesn’t know that it’s her.	1
45	It’s not like we can force her.	1
45	Please... how can any of us convince her?	1
48	She's having trouble recalling certain words and her delusions are worse.	1
48	Boyfriend and I visit every other day to make sure she takes her pills and eats.	1
48	She told us that during the day, she has nothing to think about.	1
48	I plan to cook with her next time we see her.	1
48	She lit up when I suggested it and went to find some recipes.	1
48	Otherwise I'm not sure what we could do.	1
48	I really want something that encourages her mind to work.	1
48	TDLR: if anyone has advice on activities we can give a woman with early onset Alzheimer's, to do alone or with us, it would be greatly appreciated.	1
50	It would be a good argument for him to stop driving.	1
50	How do i get a DMV test scheduled?	1
50	I want to schedule him for a drivers test to make sure he’s safe.	1
51	It's waist length and there are knots all the way up and at the base of her skull.	1
51	I'm worried that this may be bad for her health, I don't want her getting a fungus under there.	1
51	I can't think of anything else but to cut the knots out, but I think this may mean using clippers on the back of her head.	1
51	Her hair has been her pride and joy for her entire life and I don't want to take this from her, but I don't know what else to do, I think it will only get worse from here.	1
54	my mum, on 8th year of alz, is usually on the bed or wheelchair.she rarely walks and if she does, it requires multiple ppl.	0
55	Basically, my 84 year old grandmother is wearing my mother down.	1
55	We live in the same house, which is split.	1
55	Demands a cell phone or a landline.	1
55	We have gone through quite a few of each.	1
55	A flip phone with basic tech to big buttoned land lines.	1
55	After these confrontations my mom is in tears of frustration and sadness.	1
55	Could anyone who has experienced similar suggest anything with a voice command option?	1
55	has Alexa or an echo worked, something that requires no pushing of buttons as she has a light touch and claims to press buttons but ends up turning the phone off in the end.	1
