sentences	label
"I’m on the fence. He scares me a bit, but I’ve definitely been with worse drivers. The language in my dad’s after visit report says, 'Please do not drive. If you’d like a formal drivers test, the DMV is free.'"	0
"I have two questions:- I have heard that because he has this diagnosis and recommendation in his medical record, if he got in an accident, they could be sued and lose everything. Is this true?"	0
It would be a good argument for him to stop driving. How do i get a DMV test scheduled?	0
"I’ve called, searched their website, stopped in. No one has any idea what I’m talking about. I want to schedule him for a drivers test to make sure he’s safe."	0
My MIL went to visit a relative for a few weeks so that partner and I could get respite.	2
"Unfortunately, her hair never got combed or brushed and is now matted. It's waist length and there are knots all the way up and at the base of her skull. I'm worried that this may be bad for her health, I don't want her getting a fungus under there."	0
"We tried soaking it with coconut oil last night and combing it, but we couldn't get all of the knots out and she refuses to help."	0
"She got quite agitated, threatened to hit us, and was yelling about it. I can't think of anything else but to cut the knots out, but I think this may mean using clippers on the back of her head."	0
"Her hair has been her pride and joy for her entire life and I don't want to take this from her, but I don't know what else to do, I think it will only get worse from here."	2
"Any tips, either on getting tangles out or how to go about cutting it? She's adamant that she won't have her hair cut."	0
"my mum, on 8th year of alz, is usually on the bed or wheelchair.she rarely walks and if she does, it requires multiple ppl."	2
Are there any exercises to strengthen her legs or i should just aim to have her walk a little more each day?	0
"Basically, my 84 year old grandmother is wearing my mother down. We live in the same house, which is split."	1
"My Grandma has a basic apartment to herself as she is still able to manage herself to a degree. Her memory for things has greatly declined, and yesterday she pretty much forgot who her eldest daughter was when my mother (second of 4 siblings) reminded my grandma."	0
Regarding my post. She insists that she continues to have a phone. Demands a cell phone or a landline. We have gone through quite a few of each. A flip phone with basic tech to big buttoned land lines.	0
"She cannot grasp how technology works anymore. She comes out and gets angry, throws fits saying how she wants a land line 'you have a land line grandma', how she doesn't understand after we explain it both verbally and in written form."	0
"We write extremely legible and simple instructions, that she never follows."	0
After these confrontations my mom is in tears of frustration and sadness.	1
"There's more to my grandma's fading world, but right now my focus is on tech. Could anyone who has experienced similar suggest anything with a voice command option?"	0
"has Alexa or an echo worked, something that requires no pushing of buttons as she has a light touch and claims to press buttons but ends up turning the phone off in the end. Any help would be greatly appreciated."	0
"We have reached a point where mom is so confused she forgets where money is and then goes to the bank for more. Yesterday she took out several thousand dollars and hid it somewhere, which she won't tell me where because she is starting to not trust anyone."	0
"So it's time to make her accounts inaccessible, i just don't know how to do it and still have her SS and pension checks go into them."	0
How did you guys do it? I am her POA so that's not a problem.	2
My 71 year old mother has been dealing with Alzheimer's for many years.	2
I've been bathing her about a year now. Dad turns off gas and locks doors ( supplying details to give a frame of reference ).	0
She often talks about going home to check on her parents (gone for 20 years) or kids (I'm her youngest at 34 years old) or whatever.	2
She yells at my dad to take her home all the while saying their current home  is actually her house her dad got for her (it isn't).	0
"We are managing, but what's best to say to her? When she pleads to me to pick her up and take her home? Most if the time, I can change the topic and she forgets eventually, but sometimes she gets fixated."	2
Do I go pick her up and drive around? Do I gently remind her she is home? Do I just listen? What's best in your experiences?	0
Hello! My name is Ann. My team and me are working on a 3-headed electric toothbrush which effectively cleans teeth without any complicated movements needed.	2
We plan to adapt it for people with special needs and eldery health issues.	2
